Year,MLB,NFL,NBA,NHL
1901, 0.56 ,,,
1902, 0.58 ,,,
1903, 0.56 ,,,
1904, 0.54 ,,,
1905, 0.55 ,,,
1906, 0.54 ,,,
1907, 0.54 ,,,
1908, 0.54 ,,,
1909, 0.54 ,,,
1910, 0.56 ,,,
1911, 0.53 ,,,
1912, 0.52 ,,,
1913, 0.51 ,,,
1914, 0.56 ,,,
1915, 0.54 ,,,
1916, 0.56 ,,,
1917, 0.51 ,,, 0.58 
1918, 0.57 ,,, 0.56 
1919, 0.55 ,,, 0.59 
1920, 0.53 ,,, 0.59 
1921, 0.54 ,,, 0.60 
1922, 0.55 ,,, 0.57 
1923, 0.51 ,,, 0.57 
1924, 0.54 ,,, 0.61 
1925, 0.56 ,,, 0.62 
1926, 0.57 ,,, 0.63 
1927, 0.56 ,,, 0.65 
1928, 0.52 ,,, 0.65 
1929, 0.55 ,,, 0.63 
1930, 0.57 ,,, 0.63 
1931, 0.58 ,,, 0.61 
1932, 0.55 ,,, 0.61 
1933, 0.56 ,,, 0.63 
1934, 0.55 ,,, 0.64 
1935, 0.55 ,,, 0.63 
1936, 0.55 ,,, 0.64 
1937, 0.54 ,,, 0.64 
1938, 0.54 ,,, 0.63 
1939, 0.54 ,,, 0.62 
1940, 0.53 , 0.65 ,, 0.63 
1941, 0.54 , 0.56 ,, 0.60 
1942, 0.55 , 0.50 ,, 0.62 
1943, 0.55 , 0.61 ,, 0.61 
1944, 0.55 , 0.57 ,, 0.62 
1945, 0.57 , 0.63 ,, 0.62 
1946, 0.55 , 0.54 , 0.61 , 0.63 
1947, 0.54 , 0.59 , 0.57 , 0.65 
1948, 0.51 , 0.55 , 0.62 , 0.63 
1949, 0.56 , 0.52 , 0.67 , 0.64 
1950, 0.55 , 0.58 , 0.74 , 0.65 
1951, 0.53 , 0.49 , 0.73 , 0.64 
1952, 0.55 , 0.50 , 0.71 , 0.65 
1953, 0.53 , 0.55 , 0.64 , 0.61 
1954, 0.53 , 0.61 , 0.70 , 0.65 
1955, 0.56 , 0.65 , 0.63 , 0.63 
1956, 0.54 , 0.60 , 0.72 , 0.64 
1957, 0.53 , 0.56 , 0.64 , 0.65 
1958, 0.55 , 0.60 , 0.65 , 0.64 
1959, 0.54 , 0.53 , 0.64 , 0.63 
1960, 0.55 , 0.54 , 0.65 , 0.63 
1961, 0.55 , 0.55 , 0.61 , 0.63 
1962, 0.54 , 0.51 , 0.63 , 0.66 
1963, 0.55 , 0.58 , 0.59 , 0.62 
1964, 0.53 , 0.56 , 0.58 , 0.64 
1965, 0.54 , 0.52 , 0.69 , 0.62 
1966, 0.53 , 0.57 , 0.60 , 0.62 
1967, 0.56 , 0.54 , 0.57 , 0.63 
1968, 0.51 , 0.47 , 0.60 , 0.63 
1969, 0.55 , 0.60 , 0.60 , 0.64 
1970, 0.54 , 0.58 , 0.61 , 0.62 
1971, 0.52 , 0.57 , 0.58 , 0.63 
1972, 0.53 , 0.51 , 0.59 , 0.61 
1973, 0.53 , 0.62 , 0.61 , 0.62 
1974, 0.53 , 0.55 , 0.64 , 0.62 
1975, 0.54 , 0.55 , 0.65 , 0.62 
1976, 0.52 , 0.57 , 0.69 , 0.62 
1977, 0.54 , 0.58 , 0.68 , 0.63 
1978, 0.57 , 0.58 , 0.67 , 0.63 
1979, 0.54 , 0.59 , 0.65 , 0.63 
1980, 0.54 , 0.55 , 0.62 , 0.64 
1981, 0.52 , 0.62 , 0.60 , 0.63 
1982, 0.54 , 0.54 , 0.62 , 0.63 
1983, 0.54 , 0.53 , 0.68 , 0.62 
1984, 0.53 , 0.58 , 0.64 , 0.63 
1985, 0.55 , 0.64 , 0.65 , 0.62 
1986, 0.55 , 0.53 , 0.66 , 0.62 
1987, 0.55 , 0.55 , 0.68 , 0.63 
1988, 0.54 , 0.59 , 0.68 , 0.63 
1989, 0.55 , 0.57 , 0.64 , 0.63 
1990, 0.54 , 0.58 , 0.66 , 0.63 
1991, 0.54 , 0.59 , 0.63 , 0.62 
1992, 0.55 , 0.61 , 0.61 , 0.63 
1993, 0.54 , 0.55 , 0.61 , 0.64 
1994, 0.52 , 0.57 , 0.60 , 0.63 
1995, 0.53 , 0.60 , 0.60 , 0.63 
1996, 0.54 , 0.62 , 0.58 , 0.64 
1997, 0.54 , 0.61 , 0.60 , 0.65 
1998, 0.54 , 0.63 , 0.62 , 0.64 
1999, 0.52 , 0.60 , 0.61 , 0.64 
2000, 0.54 , 0.56 , 0.60 , 0.64 
2001, 0.52 , 0.55 , 0.59 , 0.64 
2002, 0.54 , 0.58 , 0.63 , 0.64 
2003, 0.55 , 0.61 , 0.61 , 0.64 
2004, 0.54 , 0.57 , 0.60 ,
2005, 0.54 , 0.59 , 0.60 , 0.61 
2006, 0.55 , 0.53 , 0.59 , 0.62 
2007, 0.54 , 0.57 , 0.60 , 0.62 
2008, 0.56 , 0.57 , 0.61 , 0.62 
2009, 0.55 , 0.57 , 0.59 , 0.62 
2010, 0.56 , 0.56 , 0.60 , 0.63 
2011, 0.53 , 0.57 , 0.59 , 0.62 
2012, 0.53 , 0.57 , 0.61 , 0.61 
2013, 0.54 , 0.60 , 0.58 , 0.62 
2014, 0.53 , 0.57 , 0.57 ,
2015, 0.54 , 0.53 , 0.59 ,
2016, 0.53 , 0.58 ,,
